Word,Count
*,1333
the,662
,584
in,267
to,196
License,196
and,164
a,141
of,134
for,131
under,128
or,100
is,97
file,88
by,83
an,82
may,80
with,80
distributed,74
========================================================================,72
not,70
DEFINITION,68
on,67
use,58
this,57
@param,55
Copyright,54
new,50
Inc,49
Licensed,48
you,46
http://www.apache.org/licenses/LICENSE-2.0,46
Apache,46
\Twitter,\,45
at,45
content,43
{,41
required,41
See,40
2.0,40
2012,39
if,39
You,39
OF,38
IE,38
either,38
except,38
(the,38
ANY,38
compliance,37
limitations,37
specific,37
\BASIS,\,37
language,37
\"\License"\);\,37
\"\AS\,37
express,37
law,37
CONDITIONS,37
Unless,37
Version,37
implied,37
copy,37
applicable,37
WITHOUT,37
governing,37
obtain,37
\writing,\,37
\IS"\\,37
agreed,37
WARRANTIES,37
OR,37
\KIND,\,37
software,37
permissions,37
\License,\,37
from,36
@return,35
we,35
NO,34
PLUGIN,34
CONFLICT,34
CLASS,34
string,32
==========================================================================,30
v3.0.0,28
:,28
it,26
name,26
DATA-API,25
Address,24
Bootstrap:,24
array,24
all,24
The,23
columns,22
type,22
2,22
strip,22
be,22
data,22
object,21
when,21
},21
as,21
ie7,21
+,20
that,20
don't,20
1,19
\},\,19
zip,18
3,18
set,18
have,18
Remove,18
padding,17
can,17
v2.3.2,17
{Object},17
browsers,16
//,16
|,16
are,16
input,15
do,15
options,15
doesn't,15
=================,15
number,15
tests,15
{string},15
true,15
2013,15
Correct,14
footer,14
function,14
-,14
jshint,14
page,14
text,14
any,14
styles,13
CAROUSEL,13
Safari,13
(c),13
;_;,13
via,13
Chrome,13
PUBLIC,13
CSS,13
up,13
COLLAPSE,12
6/7,12
POPOVER,12
--------------------------------------------------,12
reflow,12
result,12
BUTTON,12
==========================,12
ALERT,12
Bootstrap,12
AFFIX,12
TAB,12
height,12
Firefox,12
SCROLLSPY,12
====================,12
DROPDOWN,12
MODAL,12
current,12
=,11
user,11
return,11
support,11
instanceof,11
docs,11
=========================,11
out,11
==========================================================,11
default,11
Generate,11
so,10
JSZip,10
MIT,10
will,10
down,10
but,10
elements,10
browser,10
Opera,10
@mdo,10
navbar,10
Prevent,10
show,10
============================================================,10
=======================,10
@fat,10
just,9
than,9
TOOLTIP,9
space,9
Uint8Array,9
==============,9
force,9
src:,9
method,9
\string,\,9
folder,9
only,9
because,9
A,9
\true,\,9
directory,9
its,9
======================,9
mobile,9
no,9
compressed,9
see,9
check,8
empty,8
If,8
fixed,8
6,8
button,8
Error,8
between,8
case,8
files,8
binary,8
something…,8
task,8
code,8
search,8
size,8
tab,8
options:,8
4,8
margins,8
central,7
dest:,7
margin,7
into,7
form,7
else,7
pkg.name,7
color,7
length,7
other,7
r=e.toHSL();return,7
world,7
compression,7
it's,7
start,7
display,7
Add,7
small,7
===================,7
==================,7
Responsive,7
love,7
Designed,7
arguments,7
test,7
var,7
built,7
jQuery,7
transform,7
run,7
{String},7
I,6
headers,6
Returns,6
first,6
images,6
need,6
{String|ArrayBuffer|Uint8Array|Buffer},6
buttons,6
nav,6
format,6
wordpress,6
Improve,6
condition,6
offset,6
reset,6
===============,6
available,6
class,6
message,6
everything,6
homepage,6
===============================,6
devices,6
allow,6
feature,6
5,6
v2.0,6
{Array|ArrayBuffer|Uint8Array|Buffer},6
expected,6
properties,6
@private,6
requested,6
==,6
font,6
style,6
bottom,6
query,6
spacing,6
stream,6
{Error},6
your,6
=============================================================,6
header,6
snippets,6
=====================,6
more,6
avoid,6
base64,6
polyfill,6
parts,6
navigation,6
@throws,6
necessary,6
false,6
6/7/8/9,6
top,5
bytes,5
strings,5
examples,5
Blob,5
used,5
null,5
loop,5
functions,5
property,5
path,5
transition,5
calls,5
sections,5
differently,5
move,5
must,5
push,5
custom,5
For,5
disk,5
generate,5
way,5
same,5
fuck,5
otherwise,5
within,5
tags,5
@twitter,5
objects,5
state,5
given,5
\default,\,5
Test,5
\5,\,5
being,5
Page,5
================================,5
oddly,5
demo,5
t,5
Style,5
This,5
them,5
===========================================================,5
?>,5
collapsing,5
styling,5
<,5
total,5
Custom,5
element,5
\internally,\,5
checking,5
present,5
@constructor,5
uncompressed,4
rel='stylesheet',4
width,4
stack,4
gets,4
HTML5,4
example,4
Inspired,4
based,4
accept,4
Select,4
take,4
forms,4
attributes,4
was,4
o,4
Transform,4
containing,4
TYPEAHEAD,4
read/generate,4
links,4
===========================,4
All,4
supported,4
Set,4
distribution,4
\arraybuffer,\,4
type='text/css'>,4
folders,4
{ZipObject},4
NOTE:,4
their,4
\Firefox,\,4
output,4
bios,4
license,4
some,4
\0,\,4
Return,4
errant,4
seriously,4
Inner,4
modern,4
sidebar,4
8/9,4
know,4
tooltip.js,4
str,4
time,4
regex,4
Main,4
bit,4
r;return,4
===,4
\passed,\,4
Undo,4
Hide,4
/,4
An,4
QUnit,4
issue:,4
original,4
column,4
<%=,4
implementation,4
TO,4
ArrayBuffer,4
methods,4
Javascript,4
fulfilled,4
Space,4
Only,4
Known,4
\uint8array,\,4
Dual,4
last,4
{number},4
Negative,4
excess,4
override,4
tip,4
using,4
until,4
side,4
base,4
event,4
',4
contains,4
Create,4
marketing,4
add,4
0px,4
arrow,4
{Uint8Array},4
manually,4
gutter,4
7,4
actual,4
modals,4
\{"\,"\color:\,4
carousel,4
Modernizr,4
inner,4
global,4
these,4
positioning,4
By,4
background,4
Calculate,4
escape,4
'dist/css/<%=,4
key,4
masthead,4
here,4
body,4
generated,4
These,4
constructor,4
decode,4
o;return,3
includes,3
\null==e||"\boolean"\==typeof\,3
EXTENDS,3
=>,3
\t,n=rr.propHooks[this.prop];return\,3
\q=0.01"\:"\"\):p.accepts["\*"\]);for(i\,3
`input`,3
Special,3
\a=arguments.length&&(r||"\boolean"\!=typeof\,3
\ir(e,t){var\,3
inheritance,3
array-like,3
\Sn.apply(this,arguments);var\,3
Twitter,3
Jason,3
every,3
comment,3
complete,3
In(){try{return,3
\"\+s.href+"\\,3
part,3
which,3
Example,3
**,3
BSD,3
ARTICLE,3
String,3
Allow,3
\html"\:!0,"\text\,3
\n,r=0,i=e.length;for(;i>r;r++)n=e[r],Qn[n]=Qn[n]||[],Qn[n].unshift(t)},prefilter:function(e,t){t?Gn.unshift(e):Gn.push(e)}});function\,3
quick,3
JS,3
error,3
TODO,3
cannot,3
both,3
t=e.stop;delete,3
\o={},a=e===jn;function\,3
\e&&(r=n,n=e,e=t),n&&e!==!1&&this.queue(e||"\fx"\,[]),this.each(function(){var\,3
\Transport"\);function\,3
'*,3
what,3
blob,3
API,3
\failed,\,3
\t&&(n=t,t="\*"\);var\,3
git.io/normalize,3
e;for(e,3
rule,3
4px,3
media,3
jQuery.tipsy,3
instead,3
\k(e,n,r,i){var\,3
r.duration?r.duration:r.duration,3
\r;return{send:function(i,o){var\,3
(optional),3
without,3
\n,r,o={top:0,left:0},a=this[0],s=a&&a.ownerDocument;if(s)return\,3
THE,3
up),3
modal,3
unicode,3
Customize,3
\jsonp"\,function(n,r,i){var\,3
align,3
fox,3
included,3
n=e.toLowerCase();return,3
Not,3
STANDARD,3
=========================================================,3
\application/x-ecmascript"\},contents:{script:/(?:java|ecma)script/},converters:{"\text\,3
@see,3
\application/ecmascript,\,3
readability,3
displayed,3
circular,3
zn(){try{return,3
PhantomJS,3
bootstrap:,3
extra,3
better,3
\script"\:function(e){return\,3
\e&&(n=e,e=t),n=n||{};var\,3
parent,3
html,3
Make,3
\Uint8Array,\,3
n.finish})}});function,3
delegate,3
TRANSITION,3
Apply,3
\"\+l+"\\,3
n)n[i]!==t&&((o[i]?e:r||(r={}))[i]=n[i]);return,3
\a.finish=a,i||o.queue===!1?this.each(a):this.queue(o.queue,a)},stop:function(e,n,r){var\,3
Docs,3
\rr(e,t,n,r,i){return\,3
\charset=UTF-8"\,accepts:{"\*"\:Dn,text:"\text/plain"\,html:"\text/html"\,xml:"\application/xml,\,3
==============================,3
\tr(e,t){var\,3
line,3
\nr(e,t,n){var\,3
each,3
backdrop,3
want,3
\er(e,t,n){var\,3
one,3
validation,3
\Pn)Pn[e](t,!0)};function\,3
classes,3
a=or(e);return,3
John,3
references,3
get,3
\s(n.dataTypes[0])||!o["\*"\]&&s("\*"\)}function\,3
\Foundation,\,3
modify,3
\t||"\width"\in\,3
{JSZip},3
